identifier,name,short_description,location,created_year
,Hercules Capital,Hercules Capital offers clients an alternative investment vehicle through which they can have access to venture capital investments.,San Mateo,2016
,Rillet,Rillet develops accounting software to support financial management for high-growth companies.,Palo Alto,2022
,Andela,Andela's mission is to connect brilliance with opportunity.,New York,2014
,Greenlight,Greenlight is a debit card and money app that provides an all-in-one money management platform for families and parents.,Atlanta,2015
,Healx,Healx is a rare disease biotechnology company that uses generative AI for drug discovery.,Cambridge,2016
,Affirm,Affirm is a financial technology services company that offers installment loans to consumers at the point of sale.,San Francisco,2013
,Scorpion Therapeutics,Scorpion Therapeutics is a clinical-stage oncology company that specializes in precision medicine for cancer patients.,Boston,2020
,Walgreens,"Walgreens is a pharmacy, health, and wellness service center that offers trained infusion nurses and pharmacists to treat patients.",Deerfield,2012
,Type One Energy,Stellarator technology to transform energy markets with fusion power.,Oak Ridge,2023
,HeyGen,"Next-gen generative AI video platform with customizable AI avatars, right from your browser",Los Angeles,2022
,Amgen,Amgen is a biotechnology company that develops and manufactures human therapeutics for various illnesses and diseases.,Thousand Oaks,2016
,SeedBlink,SeedBlink is Europe’s all-in-one equity management and investment platform.,Bucharest,2020
,Actuate,Actuate enhances existing surveillance systems through AI camera software that improves efficiency without the need for new hardware.,New York,2018
,ArcelorMittal,ArcelorMittal is a mining and steel manufacturing company that produces iron ore and metallurgical coal.,Luxembourg,2009
,BHP,BHP is an Anglo-Australian multinational mining and petroleum company headquartered in Melbourne and based in Australia.,Melbourne,2015
,Dow,"Dow is a materials science company that offers packaging, infrastructure, and consumer care solutions.",Midland,2009
,Khosla Ventures,"Khosla Ventures provides venture assistance to entrepreneurs in AI, sustainability, enterprise, consumer, health and frontier technologies.",Menlo Park,2014
,XFA AI,"Invest in Ai servers, spread the server operating costs, and get profit sharing.",Leeds,2024
,Cato Networks,"Cato Networks is a provider of a SASE platform that offers a secure enterprise network connection to locations, people, and data.",Tel Aviv,2015
,Dropbox,"Dropbox is a smart workspace company that provides secure file sharing, collaboration, and storage solutions.",San Francisco,2007
,Squarespace,Squarespace is a website building and hosting platform that helps users create websites without needing advanced technical skills.,New York,2008
,CloudBees,CloudBees develops a cloud-based platform that provides end-to-end automated software delivery.,San Jose,2010
,AIRNA,AIRNA is a biotech company that is pioneering RNA editing therapies to improve the health of individuals.,Cambridge,2023
,Info Edge,Info Edge is an internet company that manages and operates online job portals.,Noida,2008
,Lukka,Lukka provides enterprise data and software solutions for managing crypto assets and blockchain data.,New York,2014
,Modern Health,"Modern Health is a mental well-being platform for companies offering therapy, coaching, and self-guided courses.",San Francisco,2018
,Reliance Industries,"Reliance Industries is a multi-industry company that engages in the energy, petrochemical, retail, and textile businesses.",Mumbai,2010
,Unit,Unit helps tech companies build financial features into their products.,New York,2019
,Metadome.ai,Metadome.ai is an immersive 3D & XR technology company that enables cloud-based & photorealistic customer experiences for brands.,Troy,2019
,Boosted.ai,Boosted.ai is an artificial intelligence company that automates investment management processes for the global financial industry.,Toronto,2019
,Run:AI,Run:ai is an AI cluster management platform that helps organizations squeeze more from their GPUs and streamline AI/ML development.,Tel Aviv,2019
,Cyera,Cyera is an AI-powered data security platform that gives enterprises deep context on their data to assure cyber-resilience and compliance.,New York,2022
,Circle,Circle is a financial technology firm that utilizes stablecoins for payments and e-commerce.,Boston,2014
,Thermo Fisher Scientific,Thermo Fisher Scientific is a biotechnology and laboratory equipment company that provides a wide range of scientific products and services.,Waltham,2009
,ChargePoint,ChargePoint develops and manufactures technology for their network of electrical vehicle charging stations.,Campbell,2016
,Kore.ai,Kore.ai offers AI-powered virtual assistants and applications for enhancing customer and employee experiences across various industries.,Orlando,2017
,Planet,Planet is an aerospace and data analytics company that builds small satellites and delivers information about the changing planet.,San Francisco,2013
,Dazz,"Dazz delivers unified security remediation across code, clouds, infrastructure, and applications for security and development teams.",Palo Alto,2021
,Flat6Labs,Flat6Labs is a seed and early-stage venture capital firm that primarily invests in tech-driven startups.,Gîza,2011
,KNIME,KNIME provides a platform for end-to-end data science and analytics.,Zürich,2015
,Jupiter,"Jupiter is a digital banking app that offers smart insights based on your spending, and provides features to make sense of your finances.",Mumbai,2019
,Venture Catalysts,"Venture Catalysts is an integrated incubator that offers funding, mentorship, and network.",Mumbai,2016
,Checkly,Build & run synthetics that scale,Berlin,2019
,BasiGo,"BasiGo is an e-mobility company that offers a Pay-As-You-Drive model, enabling local bus owners to access and operate electric buses.",Nairobi,2021
,Stagwell,Stagwell is a marketing & advertising company.It is the challenger network built to transform marketing.,New York,2021
,NIO,NIO is an automotive company that designs and develops electric autonomous vehicles.,Shanghai,2015
,Roku,Roku develops video streaming devices that provide users access to Internet-streamed video or audio services.,Los Gatos,2008
,QuantumScape,QuantumScape develops solid-state lithium-metal batteries for electric vehicles and other energy storage applications.,San Jose,2014
,Sweetgreen,"Sweetgreen is a fast casual restaurant chain that serves simple, seasonal, and healthy salads, and grain bowls.",Washington,2013
,Headspace,"Headspace specializes in providing mental healthcare, including coaching therapy and psychiatry, as well as meditation mindfulness tools.",Santa Monica,2013
,GoCardless,"GoCardless helps 75,000+ businesses get paid on time. No late payments, stress, or hidden fees. Just bank-to-bank payments.",London,2012
,Procore,Procore is a cloud-based construction management software company.,Carpinteria,2014
,Similarweb,SimilarWeb offers an AI-based market intelligence platform that helps monitor web and mobile app traffic.,New York,2009
,Aura,Aura is a unified digital threat protection platform that makes security simple for everyone.,Boston,2020
,M-Files,The M-Files metadata-driven document management platform enables knowledge workers to instantly find the right information in any context.,Austin,2011
,Grail,Grail develops a pan-cancer screening test designed to detect cancers at an early stage.,Menlo Park,2016
,Uplimit,Uplimit is an end-to-end AI learning platform that educates businesses and individuals with technical knowledge and practices.,San Francisco,2022
,AST SpaceMobile,AST SpaceMobile is a space-based broadband cellular network company for unmodified mobile devices.,Midland,2018
,Bonumbit,Bonumbit integrates blockchain with e-commerce to enhance digital marketplaces.,San Jose,2024
,Morpheus Data,Morpheus Data is a multi-cloud management platform for hybrid IT and DevOps automation.,Greenwood Village,2014
,Vantage Data Centers,"Vantage Data Centers designs and develops data center campuses to large cloud providers, AI enterprises, and other tech-driven businesses.",Denver,2012
,Sila,Sila is a battery materials company that manufactures energy-density lithium-ion batteries for electric vehicles.,Alameda,2013
,MBX Biosciences,MBX Biosciences is a preclinical-stage biotech company that creates therapies to treat rare endocrine diseases.,Carmel,2020
,Cardurion Pharmaceuticals,Cardurion is a cardiovascular biotechnology company developing therapeutics for the treatment of heart failure and cardiovascular diseases.,Boston,2019
,Mechanical Orchard,Mechanical Orchard is a GenAI-native technology company that modernizes critical legacy applications without disrupting what they’re doing.,San Francisco,2022
,Lime,Lime helps people move around their cities in an affordable and convenient way while eliminating their carbon footprint.,San Francisco,2017
,DreamBig Semiconductor,"DreamBig Semiconductor provides Chiplet platform with SMARTNIC/DPU solutions for AI, data centers and storage acceleration.",San Jose,2022
,Iberdrola,"Iberdrola is an energy company that generates electricity through nuclear, fossil-fuel, and hydroelectric power.",Bilbao,2009
,Chubb,"Chubb is a mortgage firm that offers risk management, property, health, personal, business, health, home, and life insurance.",Zürich,2013
,Campus,Campus.edu offers online associate degrees and skills-focused programs with live classes from professors nationwide.,Sacramento,2016
,Johnson Controls,"Johnson Controls offers smart buildings that create safe, healthy, and sustainable environments.",Cork,2009
,Unilever,"Unilever produces and supplies fast-moving consumer goods in food, home, and personal care product categories worldwide.",London,2008
,Newme,Newme is a Gen Z-focused fashion startup that offers diverse women's fashion trends.,Bengaluru,2022
,Avidity Biosciences,Avidity Biosciences is a biotechnology company that develops oligonucleotide-based therapies for its patients.,San Diego,2018
,OpenText,OpenText is the leader in Enterprise Information Management (EIM).,Waterloo,2008
,HelloFresh,HelloFresh is a food subscription company that sends pre-portioned ingredients to users’ doorstep each week.,Berlin,2012
,VAST Data,"VAST Data offers a unified data platform that integrates storage, database, and compute capabilities into a single software platform.",New York,2017
,Anysphere,Anysphere is a company that builds Artificial Intelligence tools and assistants to help humans.,Buffalo,2022
,Telefonica,Telefonica is a diversified telecommunications group that provides fixed line and mobile telephone services.,Madrid,2009
,Merck,Merck is a biopharmaceutical company that offers medicines and vaccines for various diseases.,Rahway,2008
,Charles Schwab,"Charles Schwab offers a wide range of investment advice, products & services.",West Lake Hills,2008
,Symbotic,Symbotic is a provider of integrated supply network automation solutions for warehouses and distribution centers.,Wilmington,2012
,GRO Biosciences,GRO Biosciences is a biotechnology company that develops a protein therapeutics technology to improve treatments across multiple diseases.,Boston,2017
,Crusoe Energy Systems,Crusoe Energy Systems provides solutions for the energy industry helping them to reduce routine flaring of natural gas.,Denver,2019
,StartEngine,StartEngine is an equity crowdfunding platform that enables individuals to invest in and own shares of startups and early-stage businesses.,Los Angeles,2012
,Outpace Bio,Outpace Bio develops innovative cell therapies to enhance cancer treatment efficacy.,Seattle,2021
,LevelTen Energy,LevelTen Energy is an energy company that provides renewable transaction infrastructure for buying or selling renewable energy and assets.,Seattle,2017
,Gloo,Gloo provides a technology platform that helps connect the faith ecosystem and drive personal growth through building deeper relationships.,Boulder,2015
,Infra.Market,Infra.Market is a B2B e-commerce platform that focuses on streamlining the construction materials supply chain through tech innovation.,Thane,2019
,23andMe,"23andMe is a DNA testing technology company that enables its users to access their ancestry, genealogy, and inherited traits.",Sunnyvale,2007
,Codeium,"Codeium optimizes your deep learning inference workload, delivering up to a 10x improvement in resource utilization and cost.",San Jose,2022
,Philips,"Philips is a technology company that operates in various fields, including healthcare, consumer electronics, lighting, and home appliances.",Amsterdam,2013
,Arch,Arch digitally manages private investment operations for investors and investment advisors.,New York,2019
,Agilent Technologies,Agilent Technologies addresses the scientific and laboratory management needs of analytical scientists and clinical researchers.,Santa Clara,2009
,ZeroEyes,ZeroEyes is an AI security company that detects weapons and sends alerts to prevent and stop active shooter threats.,Conshohocken,2020
,Seeq,Seeq is a software company that accelerates industrial process analytics for process manufacturing data.,Seattle,2013
,Hudl,Hudl is a software platform that provides video analysis and coaching tools for sports teams.,Lincoln,2013
,Innoviti,"Innoviti develops payment processing, credit distribution, and payment management software solutions.",Bangalore,2013
,ASML,ASML is a manufacturer of chip-making equipment.,Veldhoven,2012
,Quantinuum,"Quantinuum accelerates quantum computing and the development of applications across chemistry, cybersecurity, finance, and optimization.",Broomfield,2021
,Solaris,Solarisbank is an embedded finance platform that enables other companies to provide their own financial services through APIs.,Berlin,2016
,Tenable,Tenable helps organizations to understand and reduce their cybersecurity risk across the full range of modern computing assets.,Columbia,2012
,Neuro-ID,"Neuro-ID provides behavioral analytics identity solutions for banks, fintech, and insurance industries.",Whitefish,2015
,Barings,Barings is a global financial services firm dedicated to meeting the evolving investment and capital needs.,Charlotte,2017
,Microsoft,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",Redmond,2014
,DBS Bank,"DBS Bank is a digital banking firm that offers consumer, SME, and corporate banking services.",Singapore,2009
,EnsoData,EnsoData is a startup that utilizes artificial intelligence to analyze the human body to diagnose health conditions.,Madison,2016
,G42,G42 is an artificial intelligence (AI) and cloud computing company that provides solutions in various industries.,Abu Dhabi,2019
,Knowde,Knowde is the online marketing platform dedicated to chemicals and ingredients.,San Jose,2018
,Autobahn Therapeutics,Autobahn Therapeutics is a developer of regenerative medicines to restore hope for people affected by CNS disorders.,San Diego,2020
,Atlan,Atlan is an active metadata platform crafted for data teams that integrates metadata from diverse sources.,Singapore,2019
,Texas Instruments,"Texas Instruments is a global semiconductor company that manufactures, designs, tests, and sells embedded and analog processing chips.",Dallas,2008
,Bruker,"Bruker is a manufacturer of analytical and medical instruments covering NMR, ESR, FT-IR, X-RAY spectroscopy.",Billerica,2010
,Plus,Plus is an AI company whose mission is to build “driving intelligence” to power an autonomous future,Santa Clara,2017
,Shift4 Payments,Shift4 Payments is a provider of secure payment processing solutions.,Allentown,2017
,Nextracker,Nextracker creates smart solartracker solutions that improve the performance of solar PV plants.,Fremont,2015
,Axiad,"Axiad IDS is an identity solutions provider for enterprise, government, and financial organizations to manage cybersecurity risks.",Santa Clara,2019
,Waabi,Waabi is an artificial intelligence company that develops autonomous driving technology for the transportation sector.,Toronto,2021
,Schrödinger,Schrödinger is a healthcare-based software company that develops molecular design software for biotech and materials research.,New York,2010
,Grover,Grover offers technology subscriptions that enable customers to rent tech products on a monthly basis instead of purchasing them.,Berlin,2015
,Storj,"Decentralized cloud object storage that is affordable, easy to use, private, and secure.",Atlanta,2015
,Darktrace,"Darktrace is an AI company that uses cybersecurity solutions to identify, prevent, and eliminate insider threats.",Cambridge,2015
,Bright Night,"BrightNight provides renewable power solutions for utility, commercial, and industrial customers.",Rosemary Beach,2022
,Canva,Canva is an online design and publishing platform that provides user friendly design tools for non-designers.,Sydney,2013
,Andreessen Horowitz,Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds.,Menlo Park,2009
,ZeroAvia,ZeroAvia develops zero-emission hydrogen fuel cell powertrain solutions for aircraft.,Hollister,2019
,Arcosa,"Arcosa delivers products and solution for infrastructure , construction, engineering, and transportation markets.",Dallas,2018
,WisdomTree,"WisdomTree is a global financial innovator that offers a diverse selection of exchange-traded products (ETPs), models, and solutions.",New York,2010
,Nala,Nala is a FinTech company developing a mobile payments application to simplify money transfers and transactions.,Nairobi,2018
,Taboola,Taboola is an AI-powered content discovery platform that connects people with content on the web that suits their interests.,New York,2007
,Unacademy,Unacademy is an online learning platform that provides educational content such as video lectures and examinations.,Bangalore,2016
,Animoca Brands,Animoca Brands is a metaverse and gaming company focused on driving digital property rights through NFTs.,Cyberport,2014
,Halo Industries,Halo Industries develops new laser-based hardware solutions for the manufacturing of substances.,Palo Alto,2021
,Kinetic Green,Kinetic Green is an electric vehicle manufacturing company that provides green mobility services.,Pune,2022
,Anglo American,Anglo American is a global mining company that produces platinum group metals.,Johannesburg,2013
,OCN,OCN offers online car rentals with all-inclusive subscription services.,Cuajimalpa,2021
,Exoticca,Exoticca develops an online booking platform to facilitate travel tour package deals.,Barcelona,2015
,Orange,"Orange is a digital operator that offers mobile and internet services in Europe and Africa, and corporate telecommunication services.",Arcueil,2008
,MoneyLion,"MoneyLion is a mobile banking platform for borrowing, saving, and investing.",New York,2014
,LG Electronics,"LG Electronics manufactures a wide range of products including televisions, smartphones, and home appliances.",Seoul,2008
,Care,"Care is the world's leading platform for finding and managing high-quality family care, including care for children, seniors, pet and home.",Austin,2007
,Gnani.ai,Conversational AI deep tech company using speech technology and NLP for automation and analytics of conversations over multiple channels,Bangalore,2018
,Equinix,"Equinix is an internet company that provides data center services for companies, businesses, and organizations.",Redwood City,2008
,Gcore,"Gcore is a cloud and edge computing company that offers content delivery, hosting, and security solutions for various businesses.",Luxembourg,2017
,Bardeen,"Bardeen.ai provides AI agents for businesses, automating tasks and removing workflow friction.",San Francisco,2021
,EIT InnoEnergy,EIT InnoEnergy is an environmental services company that provides catalysing and accelerating energy transitions.,Eindhoven,2014
,Shot Scope,Shot Scope's patent-pending technology provides unparalleled insights into your golf game.,Edinburgh,2015
,Sartorius,"Sartorius helps its customers to develop and manufacture biotech medicines reliably, quickly, and economically.",Göttingen,2014
,Boomi,Boomi provides cloud integration solutions via a SaaS-based platform for providers to stay connected with their consumers.,Berwyn,2007
,Aypa Power,"Aypa Power builds, owns, and manages large-scale renewable energy projects to enhance grid stability and reduce dependency on fossil fuels.",Toronto,2020
,Hybe,Hybe is a music-based entertainment lifestyle platform company.,Seoul,2021
,Teamshares,Teamshares is an employee ownership platform for small business.,Brooklyn,2020
,OakNorth,"The digital bank for entrepreneurs, by entrepreneurs, that provides bespoke credit and banking services to businesses across the UK and US.",Manchester,2016
,Earned Wealth,Earned Wealth is a wealth management platform that provides personalized financial planning and investment strategies for doctors.,New York,2023
,Airbnb,"Airbnb is an online community marketplace for people to list, discover, and book accommodations through mobile phones or the internet.",San Francisco,2008
,NatWest Group,NatWest Group is a majority state-owned British banking and insurance holding company.,Edinburgh,2008
,CoinDCX,CoinDCX operates as a cryptocurrency exchange aggregator.,Mumbai,2018
,GardaWorld,"Garda World Security Corporation provides security solutions, cash logistics, and risk consulting services.",Montréal,2013
,Axon,Axon provides electronic control devices to law enforcement and corrections agencies.,Scottsdale,2009
,NewSpring,NewSpring Capital is a private equity firm that seeks to invest in various industries.,Radnor,2008
,Cartona,Cartona is a B2B e-commerce marketplace that connects buyers and sellers across the supply chain.,Gîza,2021
,Eight Sleep,Eight Sleep develops sleep fitness products that feature hydro-powered cooling technology and a health tracker.,New York,2014
,Marathon Digital Holdings,"MARA is a global pioneer in digital asset computing, developing and implementing innovative technologies.",Fort Lauderdale,2014
,ThoughtSpot,"ThoughtSpot is a business intelligence platform that helps anyone explore, analyze, and share real-time business analytics data.",Mountain View,2014
,Country Delight,Country Delight is a dairytech startup that produces and distributes cow and buffalo milk directly to customers' doorsteps.,Gurgaon,2019
,Know Labs,Know Labs is a non-invasive diagnostic technology platform that uses radio waves to identify and measure molecules in the body.,Seattle,2009
,Armada,"Armada is an edge computing platform that links individuals and businesses, facilitating real-time data processing and decision-making.",San Francisco,2023
,Standard Bots,"Standard Bots offers advanced automation solutions, including the RO1 robot, to help businesses streamline their operations.",New York,2018
,Agrizy,Agrizy develops an agri-processing platform to provide supply chain solutions for agribusinesses.,Bengaluru,2022
,WP Engine,Global web enablement company providing premium WordPress products and solutions,Austin,2010
,Harness,Harness is a Continuous Delivery-as-a-Service platform for engineering and DevOps teams to release applications into production.,San Francisco,2017
,IonQ,IONQ develops general-purpose quantum information processors to solve the world’s complex problems.,College Park,2017
,Akamai Technologies,"Akamai is a provider of cloud services that help enterprises provide secure, high-performing user experiences on any device.",Cambridge,2007
,Intramotev,Intramotev creates self-propelled battery-electric railcars that operates autonomously and reduce the reliance on traditional locomotives.,St Louis,2022
,Mercedes-Benz Group AG,Mercedes-Benz Group AG (formerly Daimler) is an automotive company that produces premium cars and commercial vehicles with a global reach.,Stuttgart,2009
,Vacasa,"Vacasa is a vacation rental management company that helps homeowners buy, manage, and sell their vacation homes.",Portland,2014
,Nutanix,"Nutanix specializes in cloud software, offering organizations a single platform for running apps and data across clouds.",San Jose,2011
,Vitable Health,Vitable Health offers primary care and mental health services through membership.,Philadelphia,2020
,9Unicorns Accelerator Fund,9Unicorns is a stage and sector agnostic accelerator venture capital firm.,Mumbai,2020
,TPG,TPG is a private investment firm that manages capital across a series of funds.,San Francisco,2009
,Proofpoint,"Proofpoint provides cloud-based email security, e-discovery, and compliance solutions for companies to protect sensitive business data.",Sunnyvale,2008
,MercadoLibre,MercadoLibre hosts online e-commerce and auction platforms that provide users with buying and selling mechanisms for e-transactions.,Buenos Aires,2009
,Infor,"Infor provides ERP software for healthcare, services, public sector, manufacturing, distribution, and fashion/retail industries.",New York,2009
,FloQast,FloQast is a financial close management software designed to streamline the month-end close process for accounting teams.,Los Angeles,2013
,Talkiatry,"Talkiatry provides virtual mental healthcare covered by insurance, connecting patients with licensed psychiatrists.",New York,2021
,Zscaler,Zscaler is a global cloud-based information security company that enables secure digital transformation for mobile and cloud.,San Jose,2012
,Autofleet,Autofleet provides an optimization platform for fleets and mobility operators.,Tel Aviv,2018
,Imperative Care,Imperative Care is singularly dedicated to finding meaningful answers to unsolved problems in stroke.,Campbell,2019
,DigitalOcean,"DigitalOcean provides a cloud platform to deploy, manage, and scale applications of any size.",New York,2012
,Somatus,"Somatus is a healthcare company that partners with health plans, health systems, nephrology, and primary care groups.",Mclean,2017
,Menlo Ventures,"Menlo Ventures provides capital for consumer, enterprise, and life science technologies from seed to growth stages.",San Francisco,2007
,E.ON,"E.ON Connecting Energies specialises in integrated energy solutions for industrial, commercial and public-sector customers.",Essen,2013
,Volley,"Volley builds voice-controlled entertainment experiences for Amazon Alexa, Google Assistant, and smartphones.",San Francisco,2017
,Xapien,"Xapien automates online research, using Artificial Intelligence, Natural Language Processing & with vast cloud compute power: #XapienThem",London,2021
,Matterport,"Matterport digitizes spaces into accurate, immersive 3D digital twins with its all-in-one platform.",Sunnyvale,2013
,U.S. Bancorp,"U.S. Bancorp is a financial holding company, offers banking, investment, mortgage, trust, and payment services and products for its clients ",Minneapolis,2010
,Suzlon Energy,Suzlon Energy is a sustainable company that offers a range of wind turbine products.,Pune,2014
,Claroty,Claroty is a cybersecurity company that provides solutions to protect infrastructure and industrial networks from cyber threats.,New York,2016
,IDEX,"IDEX is a publicly-traded company providing development, design, and manufacturing of fluidics systems and specialty engineered products.",Lake Forest,2009
,Jnana Therapeutics,Jnana Therapeutics develops innovative therapies using a chemoproteomics drug discovery platform.,Boston,2017
,H2O.ai,H2O.ai is a machine learning platform that builds smart applications.,Mountain View,2015
,Promise,PromisePay provides a modern payment processing platform built for utilities and government agencies.,Oakland,2018
,Regard,Regard uses AI to automatically diagnose patients and generate accurate notes for doctors to improve patient care and reduce burnout.,Los Angeles,2017
,Atlas,"Atlas is a technology platform that helps companies expand across borders, onboard talent, manage compliance, and pay their global workforce",Chicago,2022
,Universal Music Group,"Universal Music Group is a music-based entertainment company that offers music recording, publishing, and merchandising services worldwide.",New York,2008
,Commonwealth Bank of Australia,"Commonwealth Bank of Australia offers a wide range of financial and investment services to individuals, businesses, and government entities.",Sydney,2009
,Infobip,"Infobip specializes in omnichannel engagement powering a range of messaging channels, tools, and solutions for advanced customer engagement.",London,2011
,Netflix,Netflix is an online streaming platform that enables users to watch TV shows and movies.,Los Gatos,2008
,Generate Capital,"Generate Capital builds, owns, and operates sustainable infrastructure to deliver affordable and reliable resource solutions.",San Francisco,2016
,Sunrun,"Sunrun provides residential solar electricity, storage solutions, and clean energy services to homeowners.",San Francisco,2009
,Cubbit,"Your Cloud. Your Rules. Anywhere. Cubbit is the 1st geo-distributed cloud Enabler. Compose your S3 cloud in minutes, benefit for years.",Bologna,2018
,Ziff Davis,Ziff Davis is a digital media and internet company that focuses on cybersecurity and connectivity.,New York,2008
,Clarapath,"Clarapath is a medical robotics company that develops the SectionStar, a platform to mimic the human histotechnician.",New York,2017
,Aon,"Aon is a global provider of risk management, insurance and reinsurance brokerage, human resources solutions, and outsourcing services.",London,2010
,team.blue,team.blue is a online enabler that helps local entrepreneurs to grow their business. It provides hosting and cloud solutions.,Gent,2022
,Zuora,"Zuora provides cloud-based software on a subscription basis that helps companies launch, manage, and transform into a subscription business.",Redwood City,2008
,Lilium,Lilium is an aircraft company that is developing an electrically powered aircraft.,Weßling,2015
,EXPERT DOJO,Expert DOJO is an international startup accelerator based in Santa Monica.,Santa Monica,2014
,Gallagher,Gallagher is an international insurance brokerage and risk management services firm.,Rolling Meadows,2012
,Ultrahuman,Ultrahuman is a wearable tech start up that offers products that tracks metabolic health.,Bangalore,2020
,BorgWarner,BorgWarner is an automotive supplier of mobility solutions for the vehicle market.,Auburn Hills,2013
,Hourwork,Hourwork develops a recruitment and retention platform that connects employers with hourly workers.,Boston,2020
,New Mountain Capital,New Mountain Capital manages private equity and public equity capital with aggregate assets.,New York,2011
,Diageo,"Diageo is a premium drinks business with an outstanding collection of beverage alcohol brands across spirits, beer, and wine.",London,2011
,Remitly,Remitly is a mobile payments service that enables users to make person-to-person international money transfers.,Seattle,2011
,AppLovin,AppLovin makes technologies that help businesses of every size connect to their ideal customers.,Palo Alto,2013
,dYdX,"dYdX is a leading decentralized exchange offering Perpetual, Margin, & Spot trading, as well as borrow / lend pools on Ethereum.",San Francisco,2017
,Clay,Scale personalized outreach with better data enrichment,New York,2019
,Celestial AI,Celestial AI develops an optical interconnect technology platform for data center and AI computing solutions.,Santa Clara,2020
,Ripple,"Ripple is a technology company that provides solutions for cross-border payments, crypto liquidity, and central bank digital currency.",San Francisco,2013
,Bloomreach,Bloomreach is a developer of a cloud-based software that connects both customer and product data to personalize all customer touch-points.,Mountain View,2010
,Nearfield Instruments,Nearfield Instruments is a developer of advanced metrology systems for the semiconductor manufacturing industry.,Rotterdam,2018
,Grafana Labs,"Grafana Labs is an open source software platform built to support monitoring, visualization, and metric analytics.",New York,2015
,Allbirds,Allbirds is an apparel and fashion company that specializes in manufacturing eco-friendly wool shoes.,San Francisco,2016
,Heimdall Power,Heimdall Power provides software and sensors designed for monitoring overhead power lines.,Oslo,2018
,Applied Materials,Applied Materials is a semiconductor and display equipment company that offers materials engineering solutions.,Santa Clara,2013
,Planck,Planck is an AI platform designed for commercial insurance that offers solutions for submission validation and underwriting recommendations.,New York,2017
,Function Health,100 Healthy Years • Your new routine of 120+ advanced lab tests explained by the world's top doctors,Los Angeles,2022
,Hamilton Lane,Hamilton Lane is a private market investment firm that serves institutional and private wealth investors worldwide.,Bala Cynwyd,2013
,The Zebra,The Zebra is an online insurance comparison platform providing real-time rates and educational resources for various insurance types.,Austin,2013
,OutSystems,"OutSystems is a low-code platform that enables businesses to develop, deploy, and manage enterprise-grade apps.",Boston,2014
,Capitalize,Capitalize locates and transfers retirement assets for financial institutions and consumers.,New York,2020
,Nextdoor,"Nextdoor is a private social networking platform that connects neighbors for them to exchange helpful information, goods, and services.",San Francisco,2012
,UK Space Agency,UK Space Agency is an executive agency of the UK government responsible for leading the country's space exploration program.,Swindon,2019
,UnaBiz,UnaBiz provides IoT solutions for asset tracking and smart metering.,Singapore,2017
,Halda Therapeutics,Halda Therapeutics is a research-stage drug discovery company.,New Haven,2019
,OYO,OYO is a global travel tech company that connects its patrons and guests.,Gurgaon,2015
,Quizlet,Quizlet is a learning platform that uses activities and games to help students practice and master what they’re learning.,San Francisco,2010
,Helix,Helix is a population genomics company that is working to advance genomics research and integrate genomic data into clinical care.,San Mateo,2013
,Xaira Therapeutics,Xaira Therapeutics is an integrated biotechnology company driving advances in artificial intelligence.,San Francisco,2024
,Berachain,Berachain is a developer of an Ethereum-compatible blockchain for financial applications.,George Town,2023
,Onego Bio,Onego Bio is a food-based biotechnology company that produces animal-free egg white protein through precision fermentation.,Helsinki,2022
,Cresta,Cresta leverages artificial intelligence to help sales and service agents improve the quality of their customer service.,Palo Alto,2018
,"US Department of Commerce, Economic Development Administation",EDA leads the federal economic development agenda by promoting innovation and competitiveness.,Washington,2015
,Island,Island is a cybersecurity company that develops an enterprise browser to enhance security and productivity within corporate environments.,Dallas,2020
,Ambri,Ambri is an energy storage solutions company that develops liquid metal batteries.,Marlborough,2012
,Chewy,Chewy.com delivers pet happiness by conveniently shipping over 500 brands of pet food and goodies for free.,Plantation,2012
,Prenetics,Prenetics is a genetic and diagnostic health testing company that helps to identify health risks with the use of DNA sequencing technology.,Hong Kong,2014
,Trafigura,"Trafigura is a commodity trading company that facilitates the distribution of commodities such as metals, minerals, and energy.",Singapore,2010
,Neon,Neon is an open-source database company that offers a serverless Postgres platform that allows developers to build applications.,Menlo Park,2022
,Envestnet,"Envestnet provides integrated technology, intelligent data, and wealth solutions to registered investment advisors, banks, and dealers.",Berwyn,2010
,Inspirato,Inspirato is a luxury travel and lifestyle subscription company.,Denver,2011
,Docker,"Docker’s platform helps millions of developers efficiently and collaboratively build, share, and run applications.",Palo Alto,2013
,Ibotta,Ibotta is a web and mobile application.,Denver,2012
,CytoReason,CytoReason develops a cell-centered computational model of the human body designed to discover complex patterns in biological data.,Tel Aviv,2018
,Thrive Global,Thrive Global develops technology that help individuals and companies improve their well-being and performance.,New York,2016
,DocuSign,"DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.",San Francisco,2014
,Carsome,Carsome is a used car e-commerce platform that provides efficient car selling services to individuals and entities.,Petaling Jaya,2015
,Meituan,Meituan develops and operates a platform providing retail and online group buying services.,Beijing,2014
,Rad AI,"Rad AI develops software that uses AI to automate radiology report writing, aiming to enhance accuracy and reduce radiologist burnout.",San Francisco,2018
,StubHub,StubHub is an online ticket marketplace.,San Francisco,2008
,Calibre Scientific,"Calibre Scientific is a developer, manufacturer, and distributor of consumable products in the life sciences and diagnostics sectors.",Los Angeles,2020
